"Num","Title","Department","Category","Type","Price","Surface Area","Plot Area","Particuliers/Professionelles","Postal Code","Date-time","User-id","Link"
"18","Appartement 3 pièces 81 m²","Guyane"," Ventes immobilières ","Appartement","179000","81","81.42","Professionnels","97300","09/03/2018  21:47","1392880387","www.leboncoin.fr/ventes_immobilieres/1392880387.htm?ca=25_s"
"19","Duplex 4 pièces 74 m²","Guyane"," Ventes immobilières ","Appartement","189900","74","","Professionnels","97354","09/03/2018  21:47","1381738542","www.leboncoin.fr/ventes_immobilieres/1381738542.htm?ca=25_s"
"20","Appartement 3 pièces 70 m²","Guyane"," Ventes immobilières ","Appartement","195000","70","2000.0","Professionnels","97354","09/03/2018  14:50","1329132785","www.leboncoin.fr/ventes_immobilieres/1329132785.htm?ca=25_s"
"21","Appartement 3 pièces 73 m²","Guyane"," Ventes immobilières ","Appartement","177000","73","","Professionnels","97354","09/03/2018  14:44","1346357430","www.leboncoin.fr/ventes_immobilieres/1346357430.htm?ca=25_s"
"22","Maison 4 pièces 97 m²","Guyane"," Ventes immobilières ","Maison","195000","97","","Professionnels","97310","09/03/2018  07:25","1346200329","www.leboncoin.fr/ventes_immobilieres/1346200329.htm?ca=25_s"
"23","Villa 4 pièces 81 m²","Guyane"," Ventes immobilières ","Maison","199000","81","","Professionnels","97351","08/03/2018  19:26","1377407681","www.leboncoin.fr/ventes_immobilieres/1377407681.htm?ca=25_s"
"24","Maison 3 pièces 103 m²","Guyane"," Ventes immobilières ","Maison","199000","103","","Professionnels","97355","08/03/2018  17:14","1396954947","www.leboncoin.fr/ventes_immobilieres/1396954947.htm?ca=25_s"
"25","Maison Guyanaise bois sur terrain clos 5933 m2","Guyane"," Ventes immobilières ","Maison","195000","5933","","Particuliers","97313","07/03/2018  16:11","1349113682","www.leboncoin.fr/ventes_immobilieres/1349113682.htm?ca=25_s"
"26","Appartement 4 pièces 150 m²","Guyane"," Ventes immobilières ","Appartement","179920","150","","Professionnels","97351","07/03/2018  13:15","1369655335","www.leboncoin.fr/ventes_immobilieres/1369655335.htm?ca=25_s"
"27","Appartement 3 pièces 69 m²","Guyane"," Ventes immobilières ","Appartement","186900","69","","Professionnels","97354","06/03/2018  20:08","1177176827","www.leboncoin.fr/ventes_immobilieres/1177176827.htm?ca=25_s"
"28","Appartement 3 pièces 72 m²","Guyane"," Ventes immobilières ","Appartement","180000","72","","Professionnels","97300","06/03/2018  15:13","1375240828","www.leboncoin.fr/ventes_immobilieres/1375240828.htm?ca=25_s"
"29","Appartement 4 pièces 90 m²","Guyane"," Ventes immobilières ","Appartement","199000","90","","Professionnels","97300","06/03/2018  15:13","1373517415","www.leboncoin.fr/ventes_immobilieres/1373517415.htm?ca=25_s"
